headphone_id,brand,model,price,type,use_case,bass_level,sound_profile,noise_cancellation
1,Sony,WH-1000XM5,399,Over-ear,Casual,Medium,Balanced,Yes
2,Bose,QuietComfort 45,329,Over-ear,Casual,Medium,Balanced,Yes
3,Apple,AirPods Max,549,Over-ear,Casual,Low,Balanced,Yes
4,Sennheiser,HD 660S,499,Over-ear,Studio,Low,Flat,No
5,Audio-Technica,ATH-M50x,149,Over-ear,Studio,Medium,Flat,No
6,Beats,Studio Pro,349,Over-ear,Workout,High,Bass-heavy,Yes
7,Sony,WH-CH720N,149,Over-ear,Casual,Medium,Balanced,Yes
8,Beyerdynamic,DT 770 PRO,159,Over-ear,Studio,Medium,Flat,No
9,Shure,SRH440A,99,Over-ear,Studio,Low,Flat,No
10,JBL,TUNE 760NC,129,Over-ear,Workout,High,Bass-heavy,Yes
11,Bose,QuietComfort Ultra,429,Over-ear,Casual,Medium,Balanced,Yes
12,Sony,WH-1000XM4,348,Over-ear,Casual,Medium,Balanced,Yes
13,Sennheiser,Momentum 4,379,Over-ear,Casual,Medium,Balanced,Yes
14,AKG,K371,149,Over-ear,Studio,Medium,Flat,No
15,Audio-Technica,ATH-M70x,299,Over-ear,Studio,Low,Flat,No
16,Beats,Solo 3,199,On-ear,Workout,High,Bass-heavy,No
17,Bose,SoundLink II,229,On-ear,Casual,Medium,Balanced,No
18,Skullcandy,Crusher Evo,199,Over-ear,Workout,High,Bass-heavy,No
19,JBL,Live 660NC,199,Over-ear,Casual,High,Bass-heavy,Yes
20,Sony,MDR-7506,99,Over-ear,Studio,Low,Flat,No
21,Beyerdynamic,DT 990 PRO,169,Over-ear,Studio,Low,Flat,No
22,Sennheiser,HD 600,399,Over-ear,Studio,Low,Flat,No
23,Audio-Technica,ATH-M40x,99,Over-ear,Studio,Medium,Flat,No
24,Focal,Bathys,799,Over-ear,Studio,Low,Flat,Yes
25,Master & Dynamic,MW75,599,Over-ear,Casual,Medium,Balanced,Yes
26,Bang & Olufsen,Beoplay H95,799,Over-ear,Casual,Low,Balanced,Yes
27,Bowers & Wilkins,PX7 S2,399,Over-ear,Casual,Medium,Balanced,Yes
28,Jabra,Elite 85h,249,Over-ear,Casual,Medium,Balanced,Yes
29,Anker,Soundcore Life Q35,129,Over-ear,Casual,High,Bass-heavy,Yes
30,Razer,Barracuda Pro,249,Over-ear,Gaming,High,Bass-heavy,Yes
31,HyperX,Cloud Alpha,99,Over-ear,Gaming,High,Bass-heavy,No
32,SteelSeries,Arctis Nova Pro,349,Over-ear,Gaming,Medium,Balanced,Yes
33,Logitech,G Pro X,129,Over-ear,Gaming,Medium,Balanced,No
34,Corsair,Virtuoso RGB,179,Over-ear,Gaming,High,Bass-heavy,No
35,Grado,SR325x,295,On-ear,Studio,Low,Flat,No
36,Focal,Clear Mg,1490,Over-ear,Studio,Low,Flat,No
37,Audeze,LCD-X,1199,Over-ear,Studio,Low,Flat,No
38,HIFIMAN,Sundara,349,Over-ear,Studio,Low,Flat,No
39,Philips,SHP9500,79,Over-ear,Studio,Low,Flat,No
40,OneOdio,Pro-50,39,Over-ear,Studio,Medium,Flat,No
41,Sony,WH-XB910N,248,Over-ear,Workout,High,Bass-heavy,Yes
42,JBL,Club One,349,Over-ear,Casual,High,Bass-heavy,Yes
43,Marshall,Major IV,149,On-ear,Casual,High,Bass-heavy,No
44,Beats,Studio Buds Plus,169,In-ear,Workout,High,Bass-heavy,Yes
45,Bose,Sport Earbuds,179,In-ear,Workout,High,Bass-heavy,No
46,Jaybird,Vista 2,199,In-ear,Workout,High,Bass-heavy,No
47,Shokz,OpenRun Pro,179,Bone-conduction,Workout,Low,Balanced,No
